"total","first_dist","last_dist","name_a","id_a","seasons_a","teams_a","name_b","id_b","seasons_b","teams_b","same_season","already_linked"
0,0,0,"JIMMY CLARK III",1014,"2026","MACCABI TEL AVIV","JIMMY CLARK III",34406,"2025","BNEI HERZLIYA; MACCABI TEL AVIV",FALSE,FALSE
0,0,0,"JOE RAGLAND",75,"2025","HAPOEL TEL AVIV","JOE RAGLAND",1707,"2026","MACCABI RAANANA",FALSE,FALSE
0,0,0,"JONATHAN MOTLEY",1001,"2026","HAPOEL TEL AVIV","JONATHAN MOTLEY",34403,"2025","HAPOEL TEL AVIV",FALSE,FALSE
0,0,0,"JOSH HAWLEY",2146,"2026","GALIL ELION","JOSH HAWLEY",21556,"2025","BNEI HERZLIYA",FALSE,FALSE
0,0,0,"JUSTIN SMITH",1002,"2026","HAPOEL JERUSALEM","JUSTIN SMITH",11093,"2025","HAPOEL JERUSALEM",FALSE,FALSE
0,0,0,"KEANDRE COOK",2170,"2026","HAPOEL TEL AVIV","KEANDRE COOK",32536,"2025","KIRYAT ATA",FALSE,FALSE
0,0,0,"KHADEEN CARRINGTON",1044,"2026","HAPOEL JERUSALEM","KHADEEN CARRINGTON",6998,"2025","HAPOEL JERUSALEM",FALSE,FALSE
0,0,0,"KYLER EDWARDS",1006,"2026","HAPOEL HAEMEK","KYLER EDWARDS",25670,"2025","ELITZUR NETANYA",FALSE,FALSE
0,0,0,"LEVI RANDOLPH",2064,"2026","HAPOEL TEL AVIV","LEVI RANDOLPH",2745,"2025","MACCABI TEL AVIV",FALSE,FALSE
0,0,0,"LIOR CARREIRA",966,"2025","HAPOEL GALIL ELION","LIOR CARREIRA",1061,"2026","HAPOEL HOLON",FALSE,FALSE
0,0,0,"MATT COLEMAN",2113,"2026","MACCABI RAANANA","MATT COLEMAN",34404,"2025","HAPOEL HAIFA",FALSE,FALSE
0,0,0,"MAXIM FILONENKO",1193,"2026","ELIZUR NETANYA","MAXIM FILONENKO",19433,"2025","ELITZUR NETANYA",FALSE,FALSE
0,0,0,"NETANEL ARTZI",1064,"2026","HAPOEL HOLON","NETANEL ARTZI",1496,"2025","HAPOEL HOLON",FALSE,FALSE
0,0,0,"NIMROD LEVI",1051,"2026","HAPOEL JERUSALEM","NIMROD LEVI",1101,"2025,2026","HAPOEL JERUSALEM; NESS ZIONA",TRUE,FALSE
0,0,0,"NIV MISGAV",1097,"2026","HAPOEL HAEMEK","NIV MISGAV",2813,"2025","GILBOA/GALIL; HAPOEL HOLON",FALSE,FALSE
0,0,0,"NOAM AVIVI",1110,"2026","GALIL ELION","NOAM AVIVI",2052,"2026","NESS ZIONA",TRUE,FALSE
0,0,0,"NOAM AVIVI",1110,"2026","GALIL ELION","NOAM AVIVI",2926,"2025","HAPOEL AFULA",FALSE,FALSE
0,0,0,"NOAM AVIVI",2052,"2026","NESS ZIONA","NOAM AVIVI",2926,"2025","HAPOEL AFULA",FALSE,FALSE
0,0,0,"OFRI SHITRIT",1179,"2026","BEER SHEVA","OFRI SHITRIT",3558,"2025","BEER SHEVA",FALSE,FALSE
0,0,0,"OR CORNELIUS",1198,"2026","ELIZUR NETANYA","OR CORNELIUS",2616,"2025","HAPOEL JERUSALEM",FALSE,FALSE
